Complexity metrics,Sun, 16 Jun 2019 17:13:20 EDT
Method,ev(G),iv(G),v(G)
"null.evaluate(E)",1,1,1
"null.evaluate(Number)",1,1,1
"null.evaluate(Object)",1,1,1
"null.iterator()",1,1,1
"null.transform(Integer)",1,1,1
"null.transform(Object)",1,1,1
"null.transform(String)",1,1,1
"org.apache.commons.collections4.AbstractArrayListTest.AbstractArrayListTest(String)",1,1,1
"org.apache.commons.collections4.AbstractArrayListTest.testNewArrayList()",1,1,2
"org.apache.commons.collections4.AbstractArrayListTest.testSearch()",1,1,1
"org.apache.commons.collections4.AbstractLinkedListTest.AbstractLinkedListTest(String)",1,1,1
"org.apache.commons.collections4.AbstractLinkedListTest.getCollection()",1,1,1
"org.apache.commons.collections4.AbstractLinkedListTest.getConfirmedLinkedList()",1,1,1
"org.apache.commons.collections4.AbstractLinkedListTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.AbstractLinkedListTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListAddFirst()",2,1,2
"org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListAddLast()",2,1,2
"org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListGetFirst()",1,1,2
"org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListGetLast()",1,1,2
"org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListRemoveFirst()",2,1,3
"org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListRemoveLast()",2,1,3
"org.apache.commons.collections4.AbstractObjectTest.AbstractObjectTest(String)",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.getCanonicalEmptyCollectionName(Object)",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.getCanonicalFullCollectionName(Object)",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.isEqualsCheckable()",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.isTestSerialization()",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.readExternalFormFromBytes(byte[])",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.readExternalFormFromDisk(String)",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.readExternalFormFromStream(InputStream)",1,1,1
"org.apache.commons.collections4.AbstractObjectTest.serializeDeserialize(Object)",1,1,1
