Metric#5,,
,,
Class,LOC,V
org.apache.commons.configuration2.AbstractConfiguration,"1,733","12,561"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,742,"4,811"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor,81,383
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedVisitor,45,129
org.apache.commons.configuration2.AbstractYAMLBasedConfiguration,179,"1,121"
org.apache.commons.configuration2.BaseConfiguration,182,745
org.apache.commons.configuration2.BaseConfigurationXMLReader,76,264
org.apache.commons.configuration2.BaseConfigurationXMLReader.SAXConverter,33,79
org.apache.commons.configuration2.BaseHierarchicalConfiguration,623,"6,054"
org.apache.commons.configuration2.BaseHierarchicalConfiguration.BuilderVisitor,130,658
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor,193,"1,094"
org.apache.commons.configuration2.BaseNonStringProperties,141,"1,341"
org.apache.commons.configuration2.CombinedConfiguration,897,"5,622"
org.apache.commons.configuration2.CombinedConfiguration.ConfigData,172,885
org.apache.commons.configuration2.CompositeConfiguration,586,"3,412"
org.apache.commons.configuration2.ConfigurationAssert,157,"1,031"
org.apache.commons.configuration2.ConfigurationConverter,116,489
org.apache.commons.configuration2.ConfigurationLookup,55,102
org.apache.commons.configuration2.ConfigurationMap,80,615
org.apache.commons.configuration2.ConfigurationMap.ConfigurationSet,35,405
org.apache.commons.configuration2.ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,27,93
org.apache.commons.configuration2.ConfigurationMap.ConfigurationSet.Entry,29,113
org.apache.commons.configuration2.ConfigurationUtils,595,"3,038"
org.apache.commons.configuration2.ConfigurationXMLReader,316,"1,070"
org.apache.commons.configuration2.DataConfiguration,"1,557","5,789"
org.apache.commons.configuration2.DataConfiguration.DataConversionHandler,36,104
org.apache.commons.configuration2.DatabaseConfiguration,594,"4,438"
org.apache.commons.configuration2.DatabaseConfiguration.JdbcOperation,164,840
org.apache.commons.configuration2.DatabaseConfigurationTestHelper,236,"1,343"
org.apache.commons.configuration2.DynamicCombinedConfiguration,843,"7,420"
org.apache.commons.configuration2.DynamicCombinedConfiguration.ConfigData,53,103
org.apache.commons.configuration2.DynamicCombinedConfiguration.CurrentConfigHolder,72,148
org.apache.commons.configuration2.EnvironmentConfiguration,66,93
org.apache.commons.configuration2.FileURLStreamHandler,30,93
org.apache.commons.configuration2.FindNodeVisitor,61,125
org.apache.commons.configuration2.HierarchicalConfigurationConverter,168,956
org.apache.commons.configuration2.HierarchicalConfigurationXMLReader,84,689
org.apache.commons.configuration2.HierarchicalConfigurationXMLReader.SAXVisitor,83,446
org.apache.commons.configuration2.INIConfiguration,933,"7,441"
org.apache.commons.configuration2.INIConfiguration.GlobalSectionNodeModel,103,607
org.apache.commons.configuration2.ImmutableConfigurationInvocationHandler,80,337
org.apache.commons.configuration2.ImmutableConfigurationInvocationHandler.ImmutableIterator,47,96
org.apache.commons.configuration2.InterpolationTestHelper,257,"3,404"
org.apache.commons.configuration2.JNDIConfiguration,411,"2,493"
org.apache.commons.configuration2.JSONConfiguration,76,364
org.apache.commons.configuration2.Logging,214,972
org.apache.commons.configuration2.MapConfiguration,242,967
org.apache.commons.configuration2.MockInitialContextFactory,191,"2,197"
org.apache.commons.configuration2.NonCloneableConfiguration,53,89
org.apache.commons.configuration2.NonStringTestHolder,114,"1,793"
org.apache.commons.configuration2.PatternSubtreeConfigurationWrapper,389,"4,004"
org.apache.commons.configuration2.PrefixedKeysIterator,97,353
org.apache.commons.configuration2.PropertiesConfiguration,742,"10,132"
org.apache.commons.configuration2.PropertiesConfiguration.DefaultIOFactory,29,53
org.apache.commons.configuration2.PropertiesConfiguration.JupIOFactory,64,106
org.apache.commons.configuration2.PropertiesConfiguration.JupPropertiesReader,83,621
org.apache.commons.configuration2.PropertiesConfiguration.JupPropertiesWriter,60,380
org.apache.commons.configuration2.PropertiesConfiguration.PropertiesReader,263,"1,308"
org.apache.commons.configuration2.PropertiesConfiguration.PropertiesWriter,308,"1,632"
org.apache.commons.configuration2.PropertiesConfigurationLayout,757,"6,144"
org.apache.commons.configuration2.PropertiesConfigurationLayout.PropertyLayoutData,147,560
org.apache.commons.configuration2.StrictConfigurationComparator,57,352
org.apache.commons.configuration2.SubnodeConfiguration,231,514
org.apache.commons.configuration2.SubsetConfiguration,227,"1,472"
org.apache.commons.configuration2.SubsetConfiguration.SubsetIterator,53,87
org.apache.commons.configuration2.SynchronizerTestImpl,117,492
org.apache.commons.configuration2.SynchronizerTestImpl.Methods,7,4
org.apache.commons.configuration2.SystemConfiguration,85,428
org.apache.commons.configuration2.TestAbstractConfiguration,151,"1,700"
org.apache.commons.configuration2.TestAbstractConfigurationBasicFeatures,"1,036","13,832"
org.apache.commons.configuration2.TestAbstractConfigurationBasicFeatures.CollectingConfigurationListener,14,41
org.apache.commons.configuration2.TestAbstractConfigurationBasicFeatures.TestConfigurationImpl,50,207
org.apache.commons.configuration2.TestAbstractConfigurationSynchronization,220,"1,481"
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration,926,"16,809"
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.AbstractHierarchicalConfigurationTestImpl,70,304
org.apache.commons.configuration2.TestBaseConfiguration,644,"12,157"
org.apache.commons.configuration2.TestBaseConfigurationXMLReader,95,"1,488"
org.apache.commons.configuration2.TestBaseConfigurationXMLReader.TestContentHandler,10,59
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization,238,"2,696"
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.SubNodeAccessThread,63,277
org.apache.commons.configuration2.TestBaseNullConfiguration,344,"6,082"
org.apache.commons.configuration2.TestCatalogResolver,74,465
org.apache.commons.configuration2.TestCombinedConfiguration,971,"14,466"
org.apache.commons.configuration2.TestCombinedConfiguration.CombinedListener,34,147
org.apache.commons.configuration2.TestCombinedConfiguration.ReadThread,78,442
org.apache.commons.configuration2.TestCombinedConfiguration.WriteThread,64,372
org.apache.commons.configuration2.TestCompositeConfiguration,815,"13,197"
org.apache.commons.configuration2.TestCompositeConfigurationNonStringProperties,21,136
org.apache.commons.configuration2.TestConfigurationConverter,113,"1,297"
org.apache.commons.configuration2.TestConfigurationLookup,74,606
org.apache.commons.configuration2.TestConfigurationMap,60,460
org.apache.commons.configuration2.TestConfigurationSet,69,626
org.apache.commons.configuration2.TestConfigurationUtils,502,"5,426"
org.apache.commons.configuration2.TestConfigurationUtils.CloneableSynchronizer,33,77
org.apache.commons.configuration2.TestConfigurationUtils.NonCloneableSynchronizer,6,8
org.apache.commons.configuration2.TestDataConfiguration,"2,072","41,055"
org.apache.commons.configuration2.TestDatabaseConfiguration,453,"5,727"
org.apache.commons.configuration2.TestDatabaseConfiguration.PotentialErrorDatabaseConfiguration,31,135
org.apache.commons.configuration2.TestDynamicCombinedConfiguration,335,"7,950"
org.apache.commons.configuration2.TestDynamicCombinedConfiguration.ReaderThread,56,375
org.apache.commons.configuration2.TestDynamicCombinedConfiguration.ReloadThread,53,574
org.apache.commons.configuration2.TestDynamicCombinedConfiguration.ThreadLookup,25,180
org.apache.commons.configuration2.TestEnvironmentConfiguration,68,374
