Method,LOC,V,v(G),MI
"null.addEventListener(EventType<T>,EventListener<? super T>)",5,8,1,78.29474257
null.getSynchronizer(),5,4,1,80.40255856
null.interpolate(Object),5,4,1,80.40255856
null.lock(LockMode),4,2,1,84.62436609
"null.matches(T,NodeHandler<T>,String)",7,24,1,71.76630156
null.onEvent(ConfigurationBuilderEvent),5,8,1,78.29474257
"null.removeEventListener(EventType<T>,EventListener<? super T>)",6,15,1,74.65592722
null.setSynchronizer(Synchronizer),4,2,1,84.62436609
null.transformValue(Object),6,19,1,73.93708416
null.unlock(LockMode),4,2,1,84.62436609
org.apache.commons.configuration2.AbstractConfiguration.AbstractConfiguration(),11,33,1,66.51593992
org.apache.commons.configuration2.AbstractConfiguration.addErrorLogListener(),5,44,1,73.11071329
"org.apache.commons.configuration2.AbstractConfiguration.addProperty(String,Object)",15,79,1,60.9230748
"org.apache.commons.configuration2.AbstractConfiguration.addPropertyInternal(String,Object)",17,28,2,62.75700607
org.apache.commons.configuration2.AbstractConfiguration.append(Configuration),37,122,3,50.77907625
org.apache.commons.configuration2.AbstractConfiguration.beginRead(boolean),23,11,1,62.86896976
org.apache.commons.configuration2.AbstractConfiguration.beginWrite(boolean),17,13,1,65.22468255
"org.apache.commons.configuration2.AbstractConfiguration.checkDefaultValueArray(Class<?>,Object)",22,121,4,55.59473767
"org.apache.commons.configuration2.AbstractConfiguration.checkNonNullValue(String,T)",19,31,2,61.3937749
org.apache.commons.configuration2.AbstractConfiguration.clear(),15,70,1,61.29088391
org.apache.commons.configuration2.AbstractConfiguration.clearInternal(),46,160,7,47.35386289
org.apache.commons.configuration2.AbstractConfiguration.clearProperty(String),22,76,1,57.41245549
org.apache.commons.configuration2.AbstractConfiguration.cloneInterpolator(AbstractConfiguration),31,89,2,53.54882934
org.apache.commons.configuration2.AbstractConfiguration.containsKey(String),17,38,1,61.96286304
"org.apache.commons.configuration2.AbstractConfiguration.convert(Class<T>,String,T,boolean)",29,131,5,52.60162659
"org.apache.commons.configuration2.AbstractConfiguration.convertToArray(Class<?>,String,Object)",21,44,1,59.51517568
org.apache.commons.configuration2.AbstractConfiguration.copy(Configuration),35,122,3,51.30552747
org.apache.commons.configuration2.AbstractConfiguration.encodeForCopy(Object),18,38,2,61.28685935
org.apache.commons.configuration2.AbstractConfiguration.encodeListForCopy(Collection<?>),17,39,2,61.74937033
org.apache.commons.configuration2.AbstractConfiguration.endRead(),14,8,1,68.54045336
org.apache.commons.configuration2.AbstractConfiguration.endWrite(),14,8,1,68.54045336
org.apache.commons.configuration2.AbstractConfiguration.findConfigurationLookup(ConfigurationInterpolator),13,11,1,68.27413157
"org.apache.commons.configuration2.AbstractConfiguration.findConfigurationLookup(ConfigurationInterpolator,ImmutableConfiguration)",24,62,4,56.80375973
"org.apache.commons.configuration2.AbstractConfiguration.get(Class<T>,String)",5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractConfiguration.get(Class<T>,String,T)",9,19,1,70.09583576
"org.apache.commons.configuration2.AbstractConfiguration.getAndConvertProperty(Class<T>,String,T)",29,105,2,53.67790277
"org.apache.commons.configuration2.AbstractConfiguration.getArray(Class<?>,String)",5,15,1,76.38318408
"org.apache.commons.configuration2.AbstractConfiguration.getArray(Class<?>,String,Object)",15,15,1,65.97527819
org.apache.commons.configuration2.AbstractConfiguration.getBigDecimal(String),9,24,1,69.38542803
"org.apache.commons.configuration2.AbstractConfiguration.getBigDecimal(String,BigDecimal)",5,19,1,75.66434101
org.apache.commons.configuration2.AbstractConfiguration.getBigInteger(String),9,24,1,69.38542803
"org.apache.commons.configuration2.AbstractConfiguration.getBigInteger(String,BigInteger)",5,19,1,75.66434101
org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String,Boolean)",16,19,1,64.64501755
"org.apache.commons.configuration2.AbstractConfiguration.getBoolean(String,boolean)",5,26,1,74.71052855
org.apache.commons.configuration2.AbstractConfiguration.getByte(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getByte(String,Byte)",5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractConfiguration.getByte(String,byte)",5,26,1,74.71052855
"org.apache.commons.configuration2.AbstractConfiguration.getCollection(Class<T>,String,Collection<T>)",6,19,1,73.93708416
"org.apache.commons.configuration2.AbstractConfiguration.getCollection(Class<T>,String,Collection<T>,Collection<T>)",20,100,3,57.21184339
org.apache.commons.configuration2.AbstractConfiguration.getConfigurationDecoder(),10,4,1,73.83590106
org.apache.commons.configuration2.AbstractConfiguration.getConversionHandler(),10,4,1,73.83590106
org.apache.commons.configuration2.AbstractConfiguration.getDouble(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String,Double)",5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractConfiguration.getDouble(String,double)",5,26,1,74.71052855
org.apache.commons.configuration2.AbstractConfiguration.getEncodedString(String),20,46,2,59.70772041
"org.apache.commons.configuration2.AbstractConfiguration.getEncodedString(String,ConfigurationDecoder)",18,68,3,59.38277044
org.apache.commons.configuration2.AbstractConfiguration.getFloat(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String,Float)",5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractConfiguration.getFloat(String,float)",5,26,1,74.71052855
org.apache.commons.configuration2.AbstractConfiguration.getInt(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getInt(String,int)",5,26,1,74.71052855
"org.apache.commons.configuration2.AbstractConfiguration.getInteger(String,Integer)",5,19,1,75.66434101
org.apache.commons.configuration2.AbstractConfiguration.getInterpolator(),13,8,1,69.24252888
org.apache.commons.configuration2.AbstractConfiguration.getKeys(),19,28,1,61.83779245
org.apache.commons.configuration2.AbstractConfiguration.getKeys(String),20,33,1,60.85222096
org.apache.commons.configuration2.AbstractConfiguration.getKeysInternal(String),16,11,1,66.3070218
"org.apache.commons.configuration2.AbstractConfiguration.getList(Class<T>,String)",5,15,1,76.38318408
"org.apache.commons.configuration2.AbstractConfiguration.getList(Class<T>,String,List<T>)",15,48,2,62.30370847
org.apache.commons.configuration2.AbstractConfiguration.getList(String),9,11,1,71.75784002
"org.apache.commons.configuration2.AbstractConfiguration.getList(String,List<?>)",42,322,7,46.0889381
org.apache.commons.configuration2.AbstractConfiguration.getListDelimiterHandler(),10,4,1,73.83590106
org.apache.commons.configuration2.AbstractConfiguration.getLogger(),10,4,1,73.83590106
org.apache.commons.configuration2.AbstractConfiguration.getLong(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getLong(String,Long)",5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractConfiguration.getLong(String,long)",5,26,1,74.71052855
org.apache.commons.configuration2.AbstractConfiguration.getProperties(String),5,11,1,77.32634526
"org.apache.commons.configuration2.AbstractConfiguration.getProperties(String,Properties)",47,274,6,45.64873842
org.apache.commons.configuration2.AbstractConfiguration.getProperty(String),18,33,1,61.85037322
org.apache.commons.configuration2.AbstractConfiguration.getShort(String),6,41,1,71.59819991
"org.apache.commons.configuration2.AbstractConfiguration.getShort(String,Short)",5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractConfiguration.getShort(String,short)",5,26,1,74.71052855
org.apache.commons.configuration2.AbstractConfiguration.getString(String),9,24,1,69.38542803
"org.apache.commons.configuration2.AbstractConfiguration.getString(String,String)",6,44,2,71.24895351
org.apache.commons.configuration2.AbstractConfiguration.getStringArray(String),22,36,2,59.55018349
org.apache.commons.configuration2.AbstractConfiguration.getSynchronizer(),17,26,2,62.98236364
"org.apache.commons.configuration2.AbstractConfiguration.handleDefaultCollection(Collection<T>,Collection<T>)",28,82,3,54.62768822
org.apache.commons.configuration2.AbstractConfiguration.immutableSubset(String),5,11,1,77.32634526
org.apache.commons.configuration2.AbstractConfiguration.initLogger(ConfigurationLogger),11,31,2,66.57155738
org.apache.commons.configuration2.AbstractConfiguration.installDefaultInterpolator(),11,11,1,69.85674922
"org.apache.commons.configuration2.AbstractConfiguration.installInterpolator(Map<String, ? extends Lookup>,Collection<? extends Lookup>)",21,66,1,58.28218237
org.apache.commons.configuration2.AbstractConfiguration.interpolate(Object),14,30,2,64.38657595
org.apache.commons.configuration2.AbstractConfiguration.interpolate(String),12,30,2,65.84695081
org.apache.commons.configuration2.AbstractConfiguration.interpolatedConfiguration(),30,88,2,53.89383098
org.apache.commons.configuration2.AbstractConfiguration.isEmpty(),17,33,1,62.39187398
org.apache.commons.configuration2.AbstractConfiguration.isScalarValue(Object),17,24,1,63.36027129
org.apache.commons.configuration2.AbstractConfiguration.isThrowExceptionOnMissing(),9,8,1,72.72623733
org.apache.commons.configuration2.AbstractConfiguration.lock(LockMode),24,85,4,55.84429322
org.apache.commons.configuration2.AbstractConfiguration.setConfigurationDecoder(ConfigurationDecoder),12,11,1,69.03243091
org.apache.commons.configuration2.AbstractConfiguration.setConversionHandler(ConversionHandler),24,41,2,58.33038199
org.apache.commons.configuration2.AbstractConfiguration.setDefaultLookups(Collection<? extends Lookup>),39,178,4,48.99709174
org.apache.commons.configuration2.AbstractConfiguration.setInterpolator(ConfigurationInterpolator),12,15,1,68.08926972
org.apache.commons.configuration2.AbstractConfiguration.setListDelimiterHandler(ListDelimiterHandler),35,41,2,54.75601559
org.apache.commons.configuration2.AbstractConfiguration.setLogger(ConfigurationLogger),15,8,1,67.88683668
org.apache.commons.configuration2.AbstractConfiguration.setParentInterpolator(ConfigurationInterpolator),23,85,3,56.3819925
"org.apache.commons.configuration2.AbstractConfiguration.setPrefixLookups(Map<String, ? extends Lookup>)",29,91,3,53.9785603
"org.apache.commons.configuration2.AbstractConfiguration.setProperty(String,Object)",15,79,1,60.9230748
"org.apache.commons.configuration2.AbstractConfiguration.setPropertyInternal(String,Object)",24,44,1,58.25014143
org.apache.commons.configuration2.AbstractConfiguration.setSynchronizer(Synchronizer),14,15,1,66.62889486
org.apache.commons.configuration2.AbstractConfiguration.setThrowExceptionOnMissing(boolean),15,15,1,65.97527819
org.apache.commons.configuration2.AbstractConfiguration.size(),17,33,1,62.39187398
