Complexity metrics,Sun, 23 Jun 2019 17:35:44 EDT
Method,ev(G),iv(G),LOC,V,v(G)
"null.compare(ByteOrderMark,ByteOrderMark)",3,1,11,87,3
"org.apache.commons.io.ByteOrderMark.ByteOrderMark(String,int...)",3,2,21,182,5
"org.apache.commons.io.ByteOrderMark.equals(Object)",5,2,23,162,5
"org.apache.commons.io.ByteOrderMark.get(int)",1,1,9,13,1
"org.apache.commons.io.ByteOrderMark.getBytes()",1,1,12,85,2
"org.apache.commons.io.ByteOrderMark.getCharsetName()",1,1,8,4,1
"org.apache.commons.io.ByteOrderMark.hashCode()",1,1,14,38,2
"org.apache.commons.io.ByteOrderMark.length()",1,1,8,11,1
"org.apache.commons.io.ByteOrderMark.toString()",1,3,22,233,3
"org.apache.commons.io.ByteOrderMarkTestCase.ByteOrderMarkTestCase(String)",1,1,3,8,1
"org.apache.commons.io.ByteOrderMarkTestCase.testCharsetName()",1,1,6,62,1
"org.apache.commons.io.ByteOrderMarkTestCase.testConstantCharsetNames()",1,1,8,73,1
"org.apache.commons.io.ByteOrderMarkTestCase.testEquals()",1,1,11,247,1
"org.apache.commons.io.ByteOrderMarkTestCase.testErrors()",1,1,27,157,5
"org.apache.commons.io.ByteOrderMarkTestCase.testGet()",1,1,9,162,1
"org.apache.commons.io.ByteOrderMarkTestCase.testGetBytes()",1,1,6,133,1
"org.apache.commons.io.ByteOrderMarkTestCase.testHashCode()",1,1,7,108,1
"org.apache.commons.io.ByteOrderMarkTestCase.testLength()",1,1,6,62,1
"org.apache.commons.io.ByteOrderMarkTestCase.testToString()",1,1,6,62,1
"org.apache.commons.io.Charsets.toCharset(Charset)",1,2,10,22,2
"org.apache.commons.io.Charsets.toCharset(String)",1,2,12,26,2
"org.apache.commons.io.CharsetsTestCase.testIso8859_1()",1,1,4,15,1
"org.apache.commons.io.CharsetsTestCase.testToCharset()",1,1,7,63,1
"org.apache.commons.io.CharsetsTestCase.testUsAscii()",1,1,4,15,1
"org.apache.commons.io.CharsetsTestCase.testUtf16()",1,1,4,15,1
"org.apache.commons.io.CharsetsTestCase.testUtf16Be()",1,1,4,15,1
"org.apache.commons.io.CharsetsTestCase.testUtf16Le()",1,1,4,15,1
"org.apache.commons.io.CharsetsTestCase.testUtf8()",1,1,4,15,1
"org.apache.commons.io.CopyUtils.CopyUtils()",1,1,4,0,1
"org.apache.commons.io.CopyUtils.copy(InputStream,OutputStream)",1,2,21,125,2
"org.apache.commons.io.CopyUtils.copy(InputStream,Writer)",1,1,15,28,1
"org.apache.commons.io.CopyUtils.copy(InputStream,Writer,String)",1,1,18,33,1
"org.apache.commons.io.CopyUtils.copy(Reader,OutputStream)",1,1,17,36,1
"org.apache.commons.io.CopyUtils.copy(Reader,Writer)",1,2,20,125,2
"org.apache.commons.io.CopyUtils.copy(String,OutputStream)",1,1,19,44,1
"org.apache.commons.io.CopyUtils.copy(String,Writer)",1,1,10,19,1
"org.apache.commons.io.CopyUtils.copy(byte[],OutputStream)",1,1,10,24,1
"org.apache.commons.io.CopyUtils.copy(byte[],Writer)",1,1,13,33,1
"org.apache.commons.io.CopyUtils.copy(byte[],Writer,String)",1,1,18,38,1
"org.apache.commons.io.CopyUtilsTest.CopyUtilsTest(String)",1,1,3,8,1
"org.apache.commons.io.CopyUtilsTest.setUp()",1,1,3,4,1
"org.apache.commons.io.CopyUtilsTest.tearDown()",1,1,3,4,1
"org.apache.commons.io.CopyUtilsTest.testCopy_byteArrayToOutputStream()",1,1,7,95,1
"org.apache.commons.io.CopyUtilsTest.testCopy_byteArrayToWriter()",1,1,9,122,1
"org.apache.commons.io.CopyUtilsTest.testCopy_byteArrayToWriterWithEncoding()",1,1,7,59,1
"org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToOutputStream()",1,1,11,176,1
"org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToWriter()",1,1,12,176,1
"org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToWriterWithEncoding()",1,1,7,62,1
"org.apache.commons.io.CopyUtilsTest.testCopy_readerToOutputStream()",1,1,16,136,1
"org.apache.commons.io.CopyUtilsTest.testCopy_readerToWriter()",1,1,16,197,1
"org.apache.commons.io.CopyUtilsTest.testCopy_stringToOutputStream()",1,1,14,112,1
"org.apache.commons.io.CopyUtilsTest.testCopy_stringToWriter()",1,1,10,138,1
"org.apache.commons.io.CopyUtilsTest.testCtor()",1,1,4,4,1
"org.apache.commons.io.DemuxTestCase.ReaderThread.ReaderThread(String,InputStream,DemuxInputStream)",1,1,8,19,1
"org.apache.commons.io.DemuxTestCase.ReaderThread.getData()",1,1,4,8,1
"org.apache.commons.io.DemuxTestCase.ReaderThread.run()",1,3,21,150,3
"org.apache.commons.io.DemuxTestCase.WriterThread.WriterThread(String,String,OutputStream,DemuxOutputStream)",1,1,10,33,1
"org.apache.commons.io.DemuxTestCase.WriterThread.run()",1,3,18,102,3
"org.apache.commons.io.DemuxTestCase.doJoin()",1,2,11,60,2
"org.apache.commons.io.DemuxTestCase.doStart()",1,2,11,60,2
"org.apache.commons.io.DemuxTestCase.getInput(String)",1,1,6,31,1
"org.apache.commons.io.DemuxTestCase.getOutput(String)",1,1,7,31,1
