Complexity metrics,Sun, 23 Jun 2019 13:42:38 EDT
Method,ev(G),iv(G),LOC,V,v(G)
"null.isCompatibleValue(Object)",1,1,4,11,1
"org.jfree.chart.AreaChartTest.LocalListener.chartChanged(ChartChangeEvent)",1,1,9,11,1
"org.jfree.chart.AreaChartTest.createAreaChart()",1,1,15,142,1
"org.jfree.chart.AreaChartTest.setUp()",1,1,7,11,1
"org.jfree.chart.AreaChartTest.testDrawWithNullInfo()",1,2,18,106,2
"org.jfree.chart.AreaChartTest.testReplaceDataset()",1,1,23,312,1
"org.jfree.chart.AreaChartTest.testSetSeriesToolTipGenerator()",1,1,14,74,1
"org.jfree.chart.AreaChartTest.testSetSeriesURLGenerator()",1,1,14,74,1
"org.jfree.chart.BarChartTest.LocalListener.chartChanged(ChartChangeEvent)",1,1,9,11,1
"org.jfree.chart.BarChartTest.createBarChart()",1,1,24,142,1
"org.jfree.chart.BarChartTest.setUp()",1,1,7,11,1
"org.jfree.chart.BarChartTest.testDrawWithNullInfo()",1,2,18,106,2
"org.jfree.chart.BarChartTest.testReplaceDataset()",1,1,24,312,1
"org.jfree.chart.BarChartTest.testSetSeriesToolTipGenerator()",1,1,14,80,1
"org.jfree.chart.BarChartTest.testSetSeriesURLGenerator()",1,1,14,80,1
"org.jfree.chart.ChartColor.ChartColor(int,int,int)",1,1,11,25,1
"org.jfree.chart.ChartColor.createDefaultPaintArray()",1,1,45,284,1
"org.jfree.chart.ChartFactory.createAreaChart(String,String,String,CategoryDataset)",1,1,23,41,1
"org.jfree.chart.ChartFactory.createAreaChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",1,3,45,213,3
"org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset)",1,1,24,41,1
"org.jfree.chart.ChartFactory.createBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",1,5,59,401,5
"org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String,String,String,BoxAndWhiskerCategoryDataset,boolean)",1,1,31,127,1
"org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String,String,String,BoxAndWhiskerXYDataset,boolean)",1,1,26,118,1
"org.jfree.chart.ChartFactory.createBubbleChart(String,String,String,XYZDataset)",1,1,20,41,1
"org.jfree.chart.ChartFactory.createBubbleChart(String,String,String,XYZDataset,PlotOrientation,boolean,boolean,boolean)",1,3,42,255,3
"org.jfree.chart.ChartFactory.createCandlestickChart(String,String,String,OHLCDataset,boolean)",1,1,25,106,1
"org.jfree.chart.ChartFactory.createGanttChart(String,String,String,IntervalCategoryDataset)",1,1,24,36,1
"org.jfree.chart.ChartFactory.createGanttChart(String,String,String,IntervalCategoryDataset,boolean,boolean,boolean)",1,3,43,190,3
"org.jfree.chart.ChartFactory.createHighLowChart(String,String,String,OHLCDataset,boolean)",1,1,26,110,1
"org.jfree.chart.ChartFactory.createHistogram(String,String,String,IntervalXYDataset)",1,1,18,41,1
"org.jfree.chart.ChartFactory.createHistogram(String,String,String,IntervalXYDataset,PlotOrientation,boolean,boolean,boolean)",1,3,41,250,3
"org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset)",1,1,23,41,1
"org.jfree.chart.ChartFactory.createLineChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",1,3,44,208,3
"org.jfree.chart.ChartFactory.createMultiplePieChart(String,CategoryDataset,TableOrder,boolean,boolean,boolean)",1,3,39,230,3
"org.jfree.chart.ChartFactory.createMultiplePieChart3D(String,CategoryDataset,TableOrder,boolean,boolean,boolean)",1,3,47,377,3
"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset)",1,1,16,26,1
"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,PieDataset,int,boolean,boolean,boolean,Locale,boolean,boolean)",1,14,111,"1,256",18
"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,PieDataset,int,boolean,boolean,boolean,boolean,boolean,boolean)",1,15,112,"1,285",19
"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,boolean,boolean,Locale)",1,2,29,144,2
"org.jfree.chart.ChartFactory.createPieChart(String,PieDataset,boolean,boolean,boolean)",1,3,30,164,3
"org.jfree.chart.ChartFactory.createPieChart3D(String,PieDataset)",1,1,16,26,1
"org.jfree.chart.ChartFactory.createPieChart3D(String,PieDataset,boolean,boolean,Locale)",1,2,28,142,2
"org.jfree.chart.ChartFactory.createPieChart3D(String,PieDataset,boolean,boolean,boolean)",1,3,28,149,3
"org.jfree.chart.ChartFactory.createPolarChart(String,XYDataset,boolean,boolean,boolean)",1,1,29,173,1
"org.jfree.chart.ChartFactory.createRingChart(String,PieDataset,boolean,boolean,Locale)",1,2,29,144,2
"org.jfree.chart.ChartFactory.createRingChart(String,PieDataset,boolean,boolean,boolean)",1,3,30,164,3
"org.jfree.chart.ChartFactory.createScatterPlot(String,String,String,XYDataset)",1,1,21,41,1
"org.jfree.chart.ChartFactory.createScatterPlot(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",1,1,46,295,3
"org.jfree.chart.ChartFactory.createStackedAreaChart(String,String,String,CategoryDataset)",1,1,24,41,1
"org.jfree.chart.ChartFactory.createStackedAreaChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",1,3,46,213,3
"org.jfree.chart.ChartFactory.createStackedBarChart(String,String,String,CategoryDataset)",1,1,24,41,1
"org.jfree.chart.ChartFactory.createStackedBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",1,3,45,194,3
"org.jfree.chart.ChartFactory.createStackedXYAreaChart(String,String,String,TableXYDataset)",1,1,20,41,1
"org.jfree.chart.ChartFactory.createStackedXYAreaChart(String,String,String,TableXYDataset,PlotOrientation,boolean,boolean,boolean)",1,1,47,299,3
"org.jfree.chart.ChartFactory.createTimeSeriesChart(String,String,String,XYDataset)",1,1,25,36,1
"org.jfree.chart.ChartFactory.createTimeSeriesChart(String,String,String,XYDataset,boolean,boolean,boolean)",1,2,49,279,3
"org.jfree.chart.ChartFactory.createWaferMapChart(String,WaferMapDataset,PlotOrientation,boolean,boolean,boolean)",1,1,25,100,1
"org.jfree.chart.ChartFactory.createWaterfallChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",1,5,64,497,5
"org.jfree.chart.ChartFactory.createWindPlot(String,String,String,WindDataset,boolean,boolean,boolean)",1,3,33,190,3
